Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-07-02 21:00","9323","6949","537","8360","-548","587","1339","572","248","58","135","0","3506","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:05","9260","6954","510","8152","52","469","1282","561","247","60","136","0","3520","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:10","9292","6956","489","8130","-35","365","1226","561","249","60","135","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:15","9287","6951","494","8297","-82","272","1180","561","253","60","136","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:20","9229","6960","494","8423","-64","195","1146","561","252","60","136","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:25","9170","6959","492","8520","-37","136","1092","561","254","62","136","0","3520","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:30","9037","6958","495","8679","-71","92","1066","561","256","61","138","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:35","8960","6959","496","8643","21","61","981","561","257","61","139","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:40","8876","6955","496","8825","-18","39","931","561","257","60","138","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:45","8881","6955","494","8933","1","28","899","561","260","62","141","0","3520","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:50","8987","6962","496","8934","86","24","872","561","259","56","147","0","3519","0","0","0","0","0","0","0","0","0"
"2020-07-02 21:55","9112","6961","495","8815","-14","19","835","561","262","57","147","0","3520","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:00","9096","6955","497","8880","-88","19","810","561","264","64","143","0","3520","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:05","9117","6956","495","8908","-56","16","771","548","264","67","148","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:10","9095","6960","496","9051","-140","17","744","548","268","65","154","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:15","9108","6970","496","9081","-276","16","719","548","269","66","162","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:20","9120","6968","493","8890","-122","17","706","548","266","63","170","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:25","9178","6968","493","8817","-275","18","701","548","267","65","172","0","3509","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:30","9225","6968","494","8694","-284","17","698","548","267","65","172","0","3509","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:35","9266","6970","469","8485","-149","17","696","548","262","65","167","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:40","9316","6970","466","8382","-292","17","691","548","262","63","160","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:45","9299","6976","467","8105","-23","17","686","548","261","64","155","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:50","9282","6971","469","8109","-268","17","684","548","261","64","149","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 22:55","9312","6974","463","8058","-215","17","680","548","263","62","146","0","3511","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:00","9286","6974","465","8281","-540","17","678","548","262","62","144","0","3510","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:05","9187","6969","467","8579","-1161","17","677","553","262","56","143","0","3522","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:10","9222","6974","466","8648","-1138","18","677","553","250","48","142","0","3521","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:15","9125","6972","465","8597","-1153","17","677","553","241","35","140","0","3522","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:20","9108","6974","467","8497","-1221","17","676","553","237","34","138","0","3522","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:25","9083","6975","467","8297","-1250","17","676","553","234","34","133","0","3522","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:30","9078","6982","468","8275","-1264","17","675","553","233","34","128","0","3522","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:35","8982","6968","464","8109","-1102","17","675","553","233","34","123","0","3523","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:40","8908","6972","465","8016","-1129","17","676","553","229","33","118","0","3522","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:45","8781","6975","464","8045","-1283","17","675","553","230","24","117","0","3521","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:50","8769","6970","465","7844","-1178","17","676","553","227","15","116","0","3521","0","0","0","0","0","0","0","0","0"
"2020-07-02 23:55","8740","6977","469","7580","-1131","17","675","553","223","14","117","0","3521","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:00","8681","6976","465","7575","-1304","17","674","553","218","14","117","0","3521","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:05","8652","6973","466","7739","-1389","17","674","553","215","15","118","0","3425","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:10","8712","6973","464","7771","-1190","17","673","553","207","14","118","0","3425","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:15","8735","6972","465","7715","-1144","17","673","553","201","14","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:20","8711","6971","467","7694","-1285","17","672","553","203","14","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:25","8688","6970","468","7656","-1426","17","672","553","201","14","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:30","8629","6973","465","7334","-1079","17","673","553","198","15","117","0","3427","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:35","8670","6973","467","7254","-962","15","673","553","197","15","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:40","8640","6973","465","7208","-1120","14","672","553","191","15","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:45","8652","6977","470","7252","-1252","14","670","553","194","15","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:50","8616","6972","467","6965","-1121","14","671","553","193","14","117","0","3426","0","0","0","0","0","0","0","0","0"
"2020-07-03 00:55","8566","6972","466","6904","-922","13","668","553","189","10","117","0","3426","0","0","0","0","0","0","0","0","0"
