Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-03-12 21:00","8122","7086","646","5058","3645","6","77","551","314","107","272","0","3778","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:05","8165","7084","644","5114","3239","6","76","538","315","105","272","0","3778","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:10","8184","7082","642","5074","3260","6","77","538","314","105","272","0","3779","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:15","8225","7087","642","5063","3202","5","77","538","313","105","272","0","3781","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:20","8263","7097","646","5022","3264","5","76","538","314","104","272","0","3781","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:25","8255","7083","645","4950","3387","5","75","538","311","104","272","0","3780","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:30","8293","7089","647","4791","3343","5","75","538","312","103","272","0","3779","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:35","8316","7089","642","4742","3408","5","75","538","308","102","272","0","3779","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:40","8406","7088","642","4683","3214","5","75","538","307","101","272","0","3780","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:45","8387","7088","621","4485","3468","5","73","538","306","100","272","0","3778","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:50","8379","7091","615","4320","3309","5","68","538","306","101","272","0","3777","0","0","0","0","0","0","0","0","0"
"2020-03-12 21:55","8425","7089","643","4090","3438","5","61","538","305","100","272","0","3777","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:00","8413","7088","643","4198","2883","5","47","538","313","91","272","0","3773","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:05","8426","7087","642","4493","1995","5","47","473","313","77","272","0","3754","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:10","8433","7089","630","4414","1833","5","47","473","311","76","272","0","3754","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:15","8443","7094","621","4305","2046","5","47","473","310","74","272","0","3757","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:20","8425","7088","617","4170","2059","5","47","473","306","73","272","0","3757","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:25","8430","7086","617","4116","2009","5","48","473","304","72","272","0","3757","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:30","8434","7091","625","3981","1938","5","47","473","306","69","271","0","3757","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:35","8418","7091","637","3841","1898","5","47","473","301","68","268","0","3755","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:40","8396","7090","645","3745","1966","5","47","473","300","66","265","0","3754","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:45","8380","7088","655","3724","1951","5","48","473","297","65","263","0","3754","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:50","8424","7093","665","3601","1862","5","48","473","295","59","259","0","3753","0","0","0","0","0","0","0","0","0"
"2020-03-12 22:55","8379","7092","675","3450","2102","5","49","473","293","50","254","0","3753","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:00","8398","7093","680","3567","1652","5","43","473","290","48","252","0","3753","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:05","8394","7083","692","3812","991","5","13","463","288","34","248","0","3716","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:10","8389","7086","703","3679","1051","5","13","463","282","36","243","0","3717","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:15","8357","7088","699","3622","946","5","13","463","280","35","241","0","3717","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:20","8359","7089","693","3504","811","5","13","463","276","37","239","0","3718","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:25","8385","7085","686","3419","966","5","13","463","274","36","236","0","3718","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:30","8388","7089","691","3331","1086","5","13","463","269","36","240","0","3719","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:35","8419","7077","705","3286","912","5","13","463","269","35","243","0","3718","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:40","8454","7087","708","2989","1327","5","13","463","267","33","245","0","3719","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:45","8466","7088","725","3008","1139","5","13","463","263","32","242","0","3719","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:50","8494","7086","740","3041","993","5","13","463","260","32","244","0","3720","0","0","0","0","0","0","0","0","0"
"2020-03-12 23:55","8541","7087","727","2848","869","5","13","463","257","32","241","0","3718","0","0","0","0","0","0","0","0","0"
"2020-03-13 00:00","8630","7088","697","2823","610","5","13","461","254","32","240","0","3719","0","0","0","0","0","0","0","0","0"
