Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-07-20 21:00","8870","6974","256","9954","-1913","346","794","450","269","83","189","0","3573","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:05","8944","6973","255","9895","-1841","258","769","454","272","81","192","0","3606","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:10","8963","6975","256","9999","-1728","177","740","454","269","80","194","0","3607","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:15","8991","6974","255","10046","-1559","129","704","454","271","82","197","0","3609","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:20","9075","6977","256","10144","-1527","96","691","454","270","82","201","0","3609","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:25","9034","6973","257","10253","-1816","70","670","454","270","82","205","0","3608","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:30","8976","6976","255","10290","-1684","53","651","454","269","80","216","0","3608","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:35","8880","6977","255","10307","-1514","44","636","454","270","79","224","0","3607","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:40","8862","6979","255","10403","-1744","38","625","454","271","78","233","0","3606","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:45","8802","6978","256","10370","-1665","37","617","454","273","80","230","0","3608","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:50","8756","6978","255","10352","-1634","36","611","454","275","80","233","0","3610","0","0","0","0","0","0","0","0","0"
"2020-07-20 21:55","8787","6977","255","10334","-1570","36","605","454","273","84","235","0","3608","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:00","8773","6983","253","10245","-1493","36","605","454","275","85","234","0","3607","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:05","8803","6977","256","10270","-1793","30","601","450","275","82","237","0","3602","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:10","8847","6976","255","10337","-1899","32","602","450","283","85","230","0","3601","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:15","8839","6980","255","10290","-1931","32","601","450","282","87","227","0","3601","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:20","8902","6978","256","10127","-1647","31","602","450","282","81","233","0","3600","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:25","8982","6978","255","10010","-1619","31","598","450","284","84","231","0","3600","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:30","8944","6975","255","10027","-1787","31","598","450","282","82","237","0","3601","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:35","8886","6977","256","9940","-1818","31","598","450","286","87","236","0","3600","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:40","8846","6983","256","9807","-1713","27","598","450","283","83","238","0","3600","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:45","8912","6978","257","9776","-1625","27","597","450","282","85","237","0","3600","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:50","8924","6980","256","9804","-1675","27","596","450","283","84","241","0","3599","0","0","0","0","0","0","0","0","0"
"2020-07-20 22:55","8965","6987","255","9634","-1475","26","596","450","281","81","243","0","3599","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:00","9000","6982","257","9688","-1720","26","597","450","280","84","237","0","3598","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:05","8921","6980","256","9760","-1832","26","590","449","281","75","238","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:10","8881","6977","256","9902","-1908","10","581","449","277","63","246","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:15","8910","6985","255","9883","-1715","10","577","449","276","49","252","0","3537","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:20","8906","6992","256","9785","-1717","10","572","449","275","48","251","0","3537","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:25","8908","6979","256","9683","-1722","10","568","449","271","46","243","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:30","8884","6984","255","9396","-1568","10","559","449","270","46","238","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:35","8896","6987","255","9470","-1688","10","558","449","267","46","229","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:40","8830","6983","255","9206","-1521","9","558","449","265","45","221","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:45","8815","6987","256","9069","-1542","9","555","449","263","48","212","0","3538","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:50","8871","6985","255","8918","-1633","9","552","449","261","47","203","0","3537","0","0","0","0","0","0","0","0","0"
"2020-07-20 23:55","8827","6989","256","8719","-1384","9","549","449","259","47","200","0","3536","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:00","8802","6989","256","8496","-1137","9","545","449","252","47","193","0","3536","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:05","8857","6982","254","8387","-386","9","541","445","252","47","184","0","3430","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:10","8856","6985","258","8339","-187","9","536","445","250","47","178","0","3429","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:15","8848","6981","255","8561","-382","9","529","445","248","47","176","0","3430","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:20","8865","6980","257","8518","-328","8","515","445","246","45","178","0","3430","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:25","8811","6981","254","8467","-166","9","510","445","249","44","174","0","3430","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:30","8789","6984","257","8471","-366","9","505","445","246","37","174","0","3431","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:35","8764","6984","261","8213","-100","8","501","445","241","36","174","0","3431","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:40","8709","6986","254","7990","-336","8","495","445","240","37","174","0","3431","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:45","8720","6987","256","7721","-214","8","491","445","237","37","175","0","3432","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:50","8715","6988","255","7765","-233","9","484","445","239","36","174","0","3432","0","0","0","0","0","0","0","0","0"
"2020-07-21 00:55","8678","6980","256","7908","-293","8","477","445","239","29","174","0","3432","0","0","0","0","0","0","0","0","0"
"2020-07-21 01:00","8749","6984","254","7805","-514","9","468","445","236","22","175","0","3431","0","0","0","0","0","0","0","0","0"
"2020-07-21 01:05","8776","6981","255","8022","-874","8","453","455","236","15","175","0","3402","0","0","0","0","0","0","0","0","0"
"2020-07-21 01:10","8775","6976","253","8206","-866","8","436","455","226","14","175","0","3403","0","0","0","0","0","0","0","0","0"
"2020-07-21 01:15","8742","6980","256","7957","-597","8","429","455","216","13","175","0","3402","0","0","0","0","0","0","0","0","0"
"2020-07-21 01:20","8693","6979","255","7977","-559","9","417","455","212","12","174","0","3401","0","0","0","0","0","0","0","0","0"
"2020-07-21 01:25","8713","6977","256","7781","-514","9","401","455","209","13","175","0","3402","0","0","0","0","0","0","0","0","0"
