Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-09-02 21:00","5044","5844","441","10383","674","13","753","511","298","62","226","1","3729","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:05","5116","5844","441","10223","987","11","725","522","298","60","229","1","3763","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:10","5153","5845","440","10302","855","11","686","522","298","63","232","1","3763","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:15","5185","5846","441","10238","957","8","665","522","302","60","238","1","3762","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:20","5209","5846","442","10112","1061","7","643","522","304","59","242","1","3762","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:25","5295","5851","441","10072","932","7","630","522","307","70","247","2","3764","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:30","5340","5841","441","10119","837","7","622","522","314","69","251","3","3764","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:35","5376","5852","442","10023","784","7","624","522","321","69","256","3","3764","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:40","5385","5842","443","9826","1003","7","619","522","318","69","260","3","3763","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:45","5332","5849","439","9577","925","7","617","522","323","68","266","3","3764","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:50","5304","5845","441","9540","1022","7","616","522","322","68","271","3","3765","0","0","0","0","0","0","0","0","0"
"2020-09-02 21:55","5304","5848","439","9520","966","7","614","522","307","70","276","3","3764","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:00","5318","5851","441","9704","635","7","612","522","308","69","279","3","3763","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:05","5270","5843","442","9891","185","7","612","532","309","71","281","3","3710","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:10","5281","5847","443","9998","-119","7","612","532","308","69","281","3","3710","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:15","5248","5847","440","9858","-64","7","611","532","307","70","280","3","3710","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:20","5251","5852","441","9786","25","5","611","532","303","69","280","3","3710","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:25","5241","5848","443","9867","-174","5","607","532","302","68","280","3","3712","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:30","5234","5849","439","9800","27","5","607","532","300","68","280","3","3712","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:35","5244","5845","438","9737","-118","6","607","532","294","66","280","3","3711","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:40","5177","5854","439","9485","-195","5","607","532","296","69","276","3","3711","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:45","5184","5847","440","9574","-61","5","608","532","298","69","273","3","3710","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:50","5163","5849","438","9507","-288","6","607","532","290","68","268","3","3710","0","0","0","0","0","0","0","0","0"
"2020-09-02 22:55","5170","5848","437","9237","-11","5","606","532","288","67","267","3","3709","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:00","5117","5848","441","9085","-340","5","607","532","280","69","263","3","3709","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:05","5137","5846","440","8792","-269","5","606","468","272","69","259","3","3688","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:10","5143","5851","440","8744","-220","5","606","468","266","63","255","3","3689","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:15","5137","5853","439","8667","-127","6","605","468","274","41","250","3","3689","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:20","5125","5848","440","8410","-48","7","606","468","270","40","244","3","3689","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:25","5099","5860","440","8261","-142","7","605","468","270","40","238","3","3689","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:30","5055","5863","441","8302","-312","8","604","468","270","41","233","3","3689","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:35","5020","5860","442","8372","-363","8","604","468","266","40","228","3","3688","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:40","5001","5864","438","8312","-333","8","605","468","268","41","223","3","3688","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:45","4980","5869","438","8270","-368","8","604","468","269","40","219","3","3688","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:50","4965","5864","439","8157","-154","7","604","468","266","40","213","3","3687","0","0","0","0","0","0","0","0","0"
"2020-09-02 23:55","4938","5863","438","8114","-369","8","604","468","263","40","209","3","3687","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:00","4917","5862","436","7991","82","7","603","465","258","41","207","3","3688","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:05","4864","5867","437","7734","554","8","604","474","248","39","209","3","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:10","4800","5866","436","7738","533","7","603","474","239","39","207","3","3634","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:15","4742","5871","436","7758","417","7","604","474","233","39","206","3","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:20","4678","5876","442","7675","453","8","603","474","228","38","203","2","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:25","4653","5875","437","7558","501","7","604","474","220","38","195","0","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:30","4621","5879","440","7501","708","7","603","474","220","38","187","0","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:35","4564","5887","440","7472","710","7","605","474","218","40","185","0","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:40","4535","5887","438","7381","711","7","605","474","215","39","192","0","3634","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:45","4491","5886","435","7326","742","7","605","474","213","37","196","0","3634","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:50","4487","5893","439","7282","622","7","577","474","208","38","196","0","3633","0","0","0","0","0","0","0","0","0"
"2020-09-03 00:55","4426","5892","439","7341","700","7","572","474","203","31","193","0","3632","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:00","4406","5896","438","7364","594","7","573","474","196","27","190","0","3629","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:05","4363","5905","439","7255","1200","8","573","471","196","24","188","0","3622","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:10","4358","5912","437","7273","1176","7","574","471","200","17","183","0","3624","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:15","4339","5904","438","7317","945","7","586","471","198","16","183","0","3624","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:20","4325","5906","443","7362","749","7","600","471","195","16","183","0","3624","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:25","4298","5909","457","7299","853","7","602","471","196","15","181","0","3622","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:30","4255","5966","458","7150","1037","7","604","471","196","8","180","0","3623","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:35","4187","5967","460","7007","1127","7","603","471","196","8","180","0","3623","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:40","4173","5978","458","6807","1136","7","600","471","193","8","180","0","3623","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:45","4144","5988","459","6888","882","7","595","471","193","8","178","0","3623","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:50","4115","5987","459","6853","969","7","588","471","191","9","173","0","3622","0","0","0","0","0","0","0","0","0"
"2020-09-03 01:55","4092","6001","460","6873","838","7","585","471","190","8","172","0","3622","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:00","4063","6009","458","6750","897","7","583","471","189","8","172","0","3621","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:05","4023","6024","457","6736","1122","7","571","472","188","8","170","0","3614","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:10","3982","6029","457","6768","1125","7","559","472","186","8","166","0","3615","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:15","3929","6045","459","6566","1122","7","550","472","186","8","165","0","3615","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:20","3905","6042","460","6519","1189","7","542","472","186","8","166","0","3615","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:25","3890","6045","458","6405","1241","7","523","472","186","8","163","0","3615","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:30","3854","6049","458","6317","1360","7","521","472","184","8","160","0","3615","0","0","0","0","0","0","0","0","0"
"2020-09-03 02:35","3834","6054","460","6374","1249","7","519","472","185","9","156","0","3615","0","0","0","0","0","0","0","0","0"
