Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-01-16 21:00","10494","7106","1542","5882","4051","6","17","539","378","103","283","0","3826","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:05","10621","7106","1547","5878","3351","6","17","540","375","102","283","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:10","10666","7108","1551","5807","3274","6","17","540","373","103","283","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:15","10678","7113","1557","5765","3365","6","17","540","373","101","283","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:20","10727","7105","1560","5715","3549","6","17","540","375","102","284","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:25","10737","7105","1560","5622","3547","6","17","540","372","104","284","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:30","10715","7109","1550","5676","3451","6","17","540","373","103","284","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:35","10668","7105","1537","5643","3395","6","17","540","369","102","284","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:40","10731","7102","1530","5546","3510","6","17","540","367","99","284","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:45","10742","7098","1529","5613","3580","6","17","540","369","96","284","0","3821","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:50","10736","7110","1534","5587","3448","6","17","540","367","96","285","0","3819","0","0","0","0","0","0","0","0","0"
"2020-01-16 21:55","10782","7111","1526","5240","3485","6","17","540","367","96","284","0","3820","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:00","10808","7107","1518","5202","3124","6","17","540","364","91","284","0","3820","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:05","10873","7107","1512","5517","2354","6","17","535","362","86","284","0","3791","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:10","10909","7113","1507","5604","1928","6","17","535","358","84","285","0","3793","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:15","10946","7111","1504","5428","1943","6","17","535","358","57","284","0","3791","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:20","10975","7104","1499","5188","2121","6","17","535","355","57","284","0","3791","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:25","11099","7109","1478","5103","2012","6","17","535","352","57","284","0","3790","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:30","11120","7109","1482","4879","1909","6","17","535","348","56","284","0","3792","0","0","0","0","0","0","0","0","0"
"2020-01-16 22:35","11087","7109","1479","4716","1785","6","17","535","344","57","284","0","3793","0","0","0","0","0","0","0","0","0"
