Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-10-04 21:00","10029","5650","372","2896","678","18","266","558","229","49","161","0","3114","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:05","9988","5649","369","2779","1143","18","265","556","228","49","173","0","3156","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:10","9933","5656","371","2731","1238","19","265","556","231","49","184","0","3156","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:15","9950","5649","370","2626","1466","18","261","556","236","48","193","0","3156","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:20","9970","5654","371","2564","1464","19","252","556","237","48","196","0","3155","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:25","9933","5653","369","2552","1230","19","250","556","237","47","197","0","3155","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:30","9936","5654","369","2464","1171","18","246","556","238","47","204","0","3156","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:35","9947","5656","369","2472","1391","19","243","556","239","46","211","0","3157","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:40","9964","5650","371","2464","1491","19","237","556","236","46","214","0","3156","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:45","9970","5656","371","2416","1263","19","234","556","237","46","222","0","3156","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:50","9954","5654","370","2439","1104","18","228","556","238","43","225","0","3157","0","0","0","0","0","0","0","0","0"
"2020-10-04 21:55","9929","5653","370","2417","1412","19","217","556","249","33","226","0","3158","0","0","0","0","0","0","0","0","0"
"2020-10-04 22:00","9884","5657","372","2489","814","19","212","556","251","35","232","0","3158","0","0","0","0","0","0","0","0","0"
"2020-10-04 22:05","9835","5658","369","2746","144","19","211","555","249","33","229","0","3174","0","0","0","0","0","0","0","0","0"
"2020-10-04 22:10","9740","5654","369","2816","146","19","211","555","249","33","230","0","3174","0","0","0","0","0","0","0","0","0"
