Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-08-29 21:00","11663","6972","437","5570","-3494","71","811","434","334","135","128","6","3390","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:05","11535","6974","439","5310","-3042","69","745","460","331","135","133","6","3434","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:10","11519","6972","443","5336","-2916","29","713","460","333","132","129","6","3435","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:15","11607","6974","442","5179","-2779","29","687","460","335","133","124","6","3434","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:20","11627","6975","442","5152","-2662","19","673","460","337","133","118","6","3434","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:25","11573","6969","441","5296","-2749","21","657","460","338","132","118","6","3434","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:30","11564","6972","442","5297","-2643","21","647","460","337","130","118","6","3435","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:35","11427","6972","439","5360","-2711","18","644","460","346","132","118","6","3435","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:40","11424","6970","439","5261","-2660","19","636","460","346","128","118","6","3435","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:45","11393","6975","442","5246","-2621","21","635","460","346","123","121","6","3435","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:50","11263","6975","441","5404","-2649","19","635","460","348","119","128","6","3435","0","0","0","0","0","0","0","0","0"
"2020-08-29 21:55","11138","6981","442","5412","-2625","18","630","460","350","109","135","6","3433","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:00","11116","6979","443","5459","-2869","21","628","460","353","104","139","6","3434","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:05","10998","6973","441","5583","-3255","18","625","461","354","104","144","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:10","11022","6972","439","5469","-3031","18","625","461","351","101","145","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:15","10946","6971","438","5492","-3226","18","625","461","349","102","140","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:20","10757","6973","438","5383","-3305","18","624","461","351","103","139","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:25","10730","6976","439","5315","-3026","18","623","461","347","103","144","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:30","10658","6975","441","5253","-2951","18","620","461","344","97","150","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:35","10575","6979","441","5295","-3158","18","620","461","341","97","143","6","3424","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:40","10462","6972","441","5282","-3201","17","620","461","341","97","136","6","3424","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:45","10467","6980","440","5111","-3256","18","622","461","337","96","129","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:50","10472","6980","440","5024","-3120","18","620","461","340","89","124","6","3425","0","0","0","0","0","0","0","0","0"
"2020-08-29 22:55","10379","6980","440","4883","-3010","18","621","461","337","79","120","6","3426","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:00","10261","6973","436","5074","-3440","17","620","461","335","79","118","6","3426","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:05","10280","6970","439","5224","-3475","18","620","462","333","78","117","6","3430","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:10","10181","6970","440","5225","-3432","18","621","462","331","77","120","6","3429","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:15","10143","6971","439","5252","-3211","18","620","462","325","69","118","6","3429","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:20","10059","6976","442","5246","-3294","19","621","462","328","63","124","6","3429","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:25","9997","6979","441","5210","-3125","19","620","462","330","56","124","6","3429","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:30","9917","6978","441","5173","-3348","19","619","462","324","54","123","6","3429","0","0","0","0","0","0","0","0","0"
"2020-08-29 23:35","9852","6973","441","5098","-3211","19","619","462","319","54","119","6","3429","0","0","0","0","0","0","0","0","0"
