Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-07-21 21:00","7589","6974","255","10708","-119","195","445","448","299","71","165","0","3551","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:05","7466","6976","253","10603","207","152","440","448","300","73","162","0","3574","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:10","7382","6974","253","10534","421","106","410","448","302","72","172","0","3574","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:15","7471","6975","255","10562","600","78","385","448","300","71","178","0","3574","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:20","7464","6979","259","10716","456","65","364","448","301","73","186","0","3573","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:25","7602","6977","257","10662","603","56","351","448","300","74","194","0","3575","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:30","7541","6977","255","10866","503","49","332","448","302","74","202","0","3575","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:35","7542","6976","255","10799","507","46","324","448","303","75","211","0","3575","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:40","7524","6975","254","10808","504","45","324","448","304","72","219","0","3574","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:45","7502","6976","256","10750","580","45","320","448","307","75","228","0","3574","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:50","7573","6978","255","10667","643","44","322","448","311","88","235","0","3574","0","0","0","0","0","0","0","0","0"
"2020-07-21 21:55","7662","6978","255","10691","407","44","320","448","310","89","238","0","3575","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:00","7742","6977","254","10426","730","41","320","448","309","89","242","0","3576","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:05","7762","6974","255","10327","741","37","319","443","317","90","242","0","3544","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:10","7876","6979","254","10307","831","36","319","443","318","88","247","0","3543","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:15","7991","6979","256","10039","841","37","318","443","319","89","252","0","3542","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:20","8047","6981","254","10038","895","37","317","443","321","86","255","0","3542","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:25","8085","6980","254","9868","888","37","316","443","322","87","253","0","3541","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:30","8197","6982","254","9751","768","37","317","443","319","87","250","0","3542","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:35","8192","6979","254","9717","1004","17","316","443","322","87","249","0","3542","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:40","8060","6982","254","9689","1030","17","315","443","317","85","253","0","3540","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:45","8068","6983","255","9649","991","16","316","443","320","89","249","0","3540","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:50","8128","6979","253","9482","902","15","318","443","316","88","249","0","3539","0","0","0","0","0","0","0","0","0"
"2020-07-21 22:55","8206","6977","256","9079","859","15","318","443","312","88","244","0","3541","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:00","8205","6980","254","9271","458","14","318","443","312","82","242","0","3540","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:05","8158","6983","256","9649","153","15","318","443","307","77","242","0","3483","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:10","8068","6984","253","9679","195","16","318","443","305","70","239","0","3483","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:15","7986","6979","255","9591","314","15","318","443","303","61","234","0","3483","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:20","7960","6986","255","9645","298","15","318","443","302","50","227","0","3484","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:25","7954","6974","253","9556","223","15","319","443","299","47","220","0","3484","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:30","7880","6977","256","9492","299","13","320","443","295","42","210","0","3484","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:35","7766","6980","256","9372","246","9","318","443","292","35","198","0","3485","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:40","7597","6982","256","9345","366","9","315","443","295","23","186","0","3485","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:45","7409","6980","256","9195","365","8","313","443","288","22","179","0","3485","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:50","7334","6980","255","9144","327","8","293","443","290","22","166","0","3485","0","0","0","0","0","0","0","0","0"
"2020-07-21 23:55","7357","6983","255","9156","202","8","273","443","283","20","155","0","3485","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:00","7390","6981","252","9137","163","8","262","443","287","21","144","0","3485","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:05","7435","6977","254","9374","70","8","262","440","284","18","148","0","3422","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:10","7346","6980","254","9594","270","8","262","440","280","19","144","0","3422","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:15","7163","6979","253","9875","97","8","262","440","278","17","140","0","3422","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:20","7081","6980","254","9817","146","8","262","440","275","19","135","0","3421","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:25","6989","6982","254","9805","29","8","263","440","273","18","141","0","3423","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:30","6949","6983","253","9683","-42","8","263","440","270","18","142","0","3423","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:35","6930","6982","255","9647","62","8","263","440","268","19","140","0","3422","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:40","6857","6984","254","9523","154","8","263","440","265","19","140","0","3423","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:45","6826","6981","254","9304","242","8","262","440","261","20","141","0","3424","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:50","6851","6978","254","9098","223","8","260","440","252","20","143","0","3424","0","0","0","0","0","0","0","0","0"
"2020-07-22 00:55","6947","6984","255","8928","248","8","254","440","244","17","135","0","3424","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:00","7040","6984","253","8855","253","8","251","440","238","14","127","0","3424","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:05","6997","6983","255","9072","-215","8","245","439","227","12","119","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:10","6912","6983","253","9163","-306","8","242","439","230","10","124","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:15","6855","6984","253","8930","-242","8","238","439","227","10","133","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:20","6810","6983","257","8895","-205","8","235","439","224","9","141","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:25","6694","6986","254","8834","-97","8","228","439","225","9","143","0","3408","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:30","6599","6982","256","8789","-96","8","221","439","223","10","143","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:35","6466","6983","255","8825","162","8","221","439","221","9","142","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:40","6303","6991","255","8903","83","8","221","439","222","10","135","0","3408","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:45","6297","6984","253","8882","-67","8","221","439","220","9","127","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:50","6189","6985","254","8839","66","8","219","439","222","10","118","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 01:55","6119","6985","255","8777","31","8","207","439","220","9","116","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:00","6055","6983","255","8513","254","8","190","439","218","10","117","0","3409","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:05","5941","6981","255","8474","261","8","175","437","218","11","118","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:10","5864","6979","252","8697","95","8","155","437","217","10","117","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:15","5778","6988","255","8412","356","8","137","437","218","10","117","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:20","5695","6985","254","8670","291","8","132","437","215","10","118","0","3393","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:25","5573","6981","255","8758","268","8","129","437","215","9","118","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:30","5437","6980","253","8740","291","8","127","437","214","9","118","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:35","5344","6981","255","8803","366","8","119","437","214","10","117","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:40","5299","6979","255","8858","191","8","113","437","210","10","118","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:45","5281","6976","257","8591","462","8","108","437","212","10","118","0","3395","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:50","5301","6976","253","8691","337","8","74","437","205","10","117","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 02:55","5201","6982","254","8718","269","8","74","437","207","10","118","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:00","5093","6978","254","8633","319","8","74","437","207","9","118","0","3394","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:05","4904","6983","256","8723","487","8","73","437","205","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:10","4810","6981","255","8687","611","8","73","437","210","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:15","4726","6981","254","8809","405","8","73","437","208","9","118","0","3367","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:20","4695","6977","255","8922","330","8","73","437","207","9","118","0","3367","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:25","4634","6982","255","8895","265","8","73","437","208","10","118","0","3366","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:30","4586","6982","255","8927","386","8","73","437","205","10","118","0","3366","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:35","4515","6975","253","8873","314","8","73","437","207","9","118","0","3367","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:40","4430","6982","253","8940","212","8","74","437","208","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:45","4440","6983","254","8915","289","8","73","437","203","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:50","4446","6986","254","8881","272","8","73","437","207","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 03:55","4438","6975","255","8576","336","8","73","437","204","9","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:00","4349","6983","256","8599","378","8","73","437","203","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:05","4265","6979","255","8614","430","11","73","437","203","10","118","0","3365","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:10","4193","6979","254","8663","477","11","73","437","202","10","118","0","3364","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:15","4145","6983","254","8489","529","12","72","437","203","10","118","0","3363","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:20","4075","6981","254","8491","544","11","73","437","204","10","117","0","3363","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:25","3952","6984","255","8429","446","12","73","437","201","10","117","0","3363","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:30","3870","6981","255","8710","431","11","74","437","204","10","117","0","3363","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:35","3810","6984","255","9057","222","8","74","437","200","10","120","0","3362","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:40","3763","6989","255","8924","261","8","74","437","199","9","129","0","3363","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:45","3699","6987","254","8835","472","7","74","437","199","9","135","0","3363","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:50","3628","6986","254","8946","391","8","74","437","197","10","131","0","3364","0","0","0","0","0","0","0","0","0"
"2020-07-22 04:55","3577","6988","255","8747","465","7","74","437","198","10","129","0","3364","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:00","3602","6982","255","8627","515","8","74","437","198","10","124","0","3364","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:05","3534","6986","254","8906","400","7","74","436","200","10","117","0","3369","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:10","3483","6982","254","8888","361","8","74","436","202","10","117","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:15","3379","6981","254","8921","343","7","74","436","207","10","118","0","3369","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:20","3301","6983","253","9097","293","8","74","436","205","10","118","0","3371","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:25","3249","6987","255","9183","240","8","74","436","203","11","119","0","3370","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:30","3253","6988","253","9231","341","8","74","436","205","10","118","0","3370","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:35","3216","6989","254","9142","279","8","74","436","205","10","117","0","3369","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:40","3173","6978","255","9096","216","8","74","436","206","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:45","3224","6979","255","9164","206","7","74","436","203","11","117","0","3367","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:50","3180","6986","254","9115","381","7","74","436","202","11","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 05:55","3106","6980","255","9312","333","8","74","436","201","10","118","0","3368","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:00","3099","6985","254","9280","449","7","74","436","200","10","118","0","3366","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:05","3020","6983","255","9690","590","8","74","441","202","10","117","0","3357","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:10","2974","6982","254","10048","570","8","74","441","202","10","118","0","3357","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:15","3005","6982","254","10371","413","8","74","441","204","10","117","0","3357","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:20","3061","6985","254","10254","657","9","74","441","203","10","118","0","3359","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:25","3059","6985","255","10308","465","10","73","441","202","10","117","0","3360","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:30","3065","6986","256","10431","510","12","74","441","201","10","117","0","3358","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:35","3019","6982","254","10578","655","10","74","441","201","10","118","0","3358","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:40","2943","6980","255","10676","588","10","73","441","206","10","118","0","3357","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:45","2913","6981","255","10875","490","11","73","441","208","10","117","0","3359","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:50","2904","6981","256","10863","428","11","74","441","213","10","117","0","3360","0","0","0","0","0","0","0","0","0"
"2020-07-22 06:55","2955","6980","255","10902","412","14","73","441","215","10","118","0","3358","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:00","2985","6981","254","10910","693","17","74","441","214","11","117","0","3357","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:05","3020","6988","254","10926","1083","21","74","430","215","10","117","0","3420","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:10","2977","6984","255","11030","1280","25","74","430","217","10","117","0","3420","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:15","2939","6977","255","11272","1168","33","74","430","218","10","117","0","3422","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:20","2936","6976","255","11486","911","43","75","430","224","11","117","0","3421","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:25","2970","6980","255","11509","913","68","75","430","228","10","121","0","3420","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:30","3014","6972","255","11435","931","104","76","430","227","10","119","0","3420","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:35","3062","6975","254","11480","1041","155","76","430","229","10","121","0","3419","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:40","3090","6977","255","11448","1004","222","75","430","235","11","127","0","3420","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:45","3095","6977","255","11420","955","295","76","430","234","10","135","0","3421","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:50","3148","6972","254","11412","1025","392","76","430","226","20","144","0","3420","0","0","0","0","0","0","0","0","0"
"2020-07-22 07:55","3098","6972","254","11496","782","521","76","430","226","22","152","0","3421","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:00","3112","6978","255","11085","1212","665","77","430","223","23","156","0","3421","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:05","3038","6978","265","10998","1589","795","78","435","225","39","161","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:10","2998","6977","283","11190","1517","897","78","435","228","46","167","0","3478","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:15","2952","6979","302","11191","1648","1029","78","435","233","51","169","0","3478","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:20","2946","6974","321","11235","1546","1178","78","435","235","54","163","0","3479","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:25","2990","6971","332","11190","1463","1273","78","435","239","55","158","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:30","2940","6974","334","11216","1488","1437","78","435","242","56","155","0","3479","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:35","2861","6972","334","11232","1586","1585","78","435","245","56","151","0","3479","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:40","2822","6974","336","11274","1568","1766","78","435","250","58","148","0","3478","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:45","2738","6973","354","11305","1464","1917","75","435","245","62","145","0","3478","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:50","2646","6973","374","11316","1536","2127","73","435","244","72","143","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 08:55","2680","6972","395","11318","1465","2451","73","435","244","86","148","0","3479","0","0","0","0","0","0","0","0","0"
"2020-07-22 09:00","2704","6971","412","11363","1460","2560","71","435","247","103","154","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 09:05","2598","6970","417","11552","1608","2720","72","435","250","104","158","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 09:10","2567","6973","423","11830","1496","2790","80","435","247","107","159","0","3481","0","0","0","0","0","0","0","0","0"
"2020-07-22 09:15","2544","6964","436","11752","1563","2907","94","435","251","110","164","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 09:20","2464","6972","426","11790","1577","2892","114","435","249","115","174","0","3480","0","0","0","0","0","0","0","0","0"
"2020-07-22 09:25","2381","6973","432","12029","1460","2908","146","435","252","117","181","0","3479","0","0","0","0","0","0","0","0","0"
