Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-09-17 21:00","6959","6969","633","10257","835","6","11","637","270","86","211","2","3801","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:05","6851","6965","636","10090","1193","3","11","638","269","89","211","2","3795","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:10","6879","6964","635","9998","1752","3","11","638","280","93","211","2","3795","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:15","6718","6972","640","9996","1656","3","11","638","281","98","212","2","3795","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:20","6647","6972","639","10009","1893","3","11","638","283","108","211","2","3794","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:25","6578","6970","641","10067","1679","3","11","638","280","127","211","2","3794","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:30","6464","6971","638","10022","1772","3","11","638","280","131","211","2","3795","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:35","6382","6970","636","9948","1578","3","11","638","282","132","211","2","3796","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:40","6320","6973","641","9813","1604","3","11","638","278","133","212","2","3797","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:45","6282","6972","635","9642","1669","3","11","638","284","130","212","2","3796","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:50","6249","6966","632","9310","1645","3","11","638","284","129","212","2","3795","0","0","0","0","0","0","0","0","0"
"2020-09-17 21:55","6204","6973","628","9466","1548","3","11","638","281","134","211","2","3796","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:00","6292","6973","621","9696","816","3","11","638","280","137","211","2","3797","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:05","6235","6978","619","10190","-372","3","11","635","281","135","211","2","3788","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:10","6247","6973","611","10004","-373","3","11","635","286","135","212","2","3788","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:15","6359","6972","608","9707","-343","3","10","635","290","128","211","2","3789","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:20","6417","6976","614","9539","-304","3","10","635","292","128","212","2","3790","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:25","6421","6981","611","9074","-3","3","10","635","294","130","211","2","3791","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:30","6461","6971","603","8977","-188","3","10","635","289","121","212","2","3791","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:35","6635","6972","600","8848","-281","3","10","635","286","111","212","2","3791","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:40","6728","6972","595","8802","-176","3","10","635","282","105","212","2","3790","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:45","6806","6972","594","8672","-233","3","10","635","280","101","210","2","3790","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:50","6914","6975","592","8604","-506","3","10","635","277","86","208","2","3791","0","0","0","0","0","0","0","0","0"
"2020-09-17 22:55","7119","6977","589","8253","-181","3","10","635","275","75","211","2","3791","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:00","7269","6974","592","8260","122","3","10","635","275","79","209","2","3791","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:05","7411","6973","595","8202","394","3","11","627","273","77","203","2","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:10","7558","6976","590","7860","648","3","11","627","272","61","196","2","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:15","7599","6970","595","7539","572","3","11","627","270","51","198","1","3739","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:20","7578","6974","596","7343","865","3","11","627","266","55","196","0","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:25","7686","6974","597","7081","612","3","11","627","263","51","190","0","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:30","7856","6975","596","6654","775","3","11","627","271","33","189","0","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:35","7838","6976","597","6922","660","3","11","627","269","29","192","0","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:40","7780","6971","596","7016","557","3","11","627","265","29","186","0","3737","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:45","7801","6970","594","6829","413","3","11","627","262","29","179","0","3739","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:50","7858","6966","594","6638","344","3","11","627","258","26","173","0","3738","0","0","0","0","0","0","0","0","0"
"2020-09-17 23:55","7916","6967","594","6431","680","3","11","627","257","19","165","0","3737","0","0","0","0","0","0","0","0","0"
"2020-09-18 00:00","7900","6974","591","6429","594","3","11","627","258","12","158","0","3737","0","0","0","0","0","0","0","0","0"
"2020-09-18 00:05","7900","6974","581","6715","642","3","11","623","256","12","151","0","3582","0","0","0","0","0","0","0","0","0"
