Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-06-04 21:00","10765","4852","435","4112","-553","337","613","531","262","43","157","0","3462","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:05","10592","4853","432","3720","307","269","577","582","262","38","159","0","3427","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:10","10518","4865","432","3577","699","193","533","582","263","35","159","0","3428","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:15","10414","4865","432","3792","611","147","486","582","264","41","160","0","3429","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:20","10377","4864","433","3923","477","92","449","582","265","46","162","0","3429","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:25","10234","4865","434","3896","580","59","427","582","269","46","180","0","3428","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:30","10125","4868","434","3893","997","42","392","582","266","47","181","0","3427","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:35","10078","4875","434","3976","786","26","359","582","268","43","182","0","3427","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:40","10026","4882","433","3983","703","19","334","582","268","44","184","0","3427","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:45","9975","4875","432","4028","977","15","306","582","272","43","185","0","3427","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:50","9999","4878","431","4015","564","14","286","582","273","45","188","0","3427","0","0","0","0","0","0","0","0","0"
"2020-06-04 21:55","10039","4883","432","3988","595","14","272","582","274","46","191","0","3428","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:00","9975","4884","434","3928","759","18","264","566","279","47","195","0","3423","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:05","9970","4884","434","3849","1017","14","245","594","279","49","200","0","3454","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:10","9954","4891","435","3712","948","14","217","594","281","50","204","0","3453","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:15","9888","4893","433","3676","1016","14","189","594","281","50","208","0","3452","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:20","9796","4898","432","3712","1145","14","180","594","278","60","208","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:25","9738","4902","434","3777","1013","14","166","594","281","57","206","0","3453","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:30","9619","4897","435","3787","842","15","158","594","280","51","206","0","3454","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:35","9490","4907","432","3694","920","14","148","594","275","50","207","0","3452","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:40","9444","4917","433","3751","953","13","130","594","276","49","207","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:45","9361","4914","432","3644","905","13","128","594","274","49","207","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:50","9316","4912","434","3526","1037","13","126","594","273","48","205","0","3452","0","0","0","0","0","0","0","0","0"
"2020-06-04 22:55","9258","4914","436","3659","880","13","124","594","271","49","203","0","3452","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:00","9105","4917","433","3784","755","13","122","590","269","49","202","0","3449","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:05","9030","4918","433","3737","498","14","111","592","266","42","199","0","3450","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:10","8981","4921","434","3729","403","14","107","592","264","42","194","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:15","8913","4925","434","3766","417","14","107","592","262","41","190","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:20","8874","4933","434","3765","369","15","106","592","261","37","186","0","3452","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:25","8759","4931","441","3771","329","15","106","592","259","29","183","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:30","8757","4932","434","3655","291","15","106","592","255","29","180","0","3450","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:35","8652","4943","433","3576","295","15","107","592","257","27","180","0","3451","0","0","0","0","0","0","0","0","0"
"2020-06-04 23:40","8550","4933","434","3636","332","15","105","592","258","24","179","0","3452","0","0","0","0","0","0","0","0","0"
