value,datetime,Wind,Nuclear,Coal,Int. exchanges,Solar PV,Hydro,day_period,weekday_type,season
85.4,2023-04-01 00:00:00,13683,5602,446,-4006,5,1755,Night,Weekend,Spring
77.36,2023-04-01 01:00:00,13550,5615,449,-2922,5,1508,Night,Weekend,Spring
74.18,2023-04-01 02:00:00,13348,5605,447,-2897,5,1515,Night,Weekend,Spring
73.09,2023-04-01 03:00:00,12184,5611,445,-2413,5,1661,Night,Weekend,Spring
76.72,2023-04-01 04:00:00,11766,5601,448,-2879,5,1556,Night,Weekend,Spring
94.93,2023-04-01 05:00:00,10907,5607,466,-2981,5,1410,Night,Weekend,Spring
104.37,2023-04-01 06:00:00,10552,5604,456,-2753,4,1411,Morning,Weekend,Spring
91.62,2023-04-01 07:00:00,10285,5609,444,-2435,5,1530,Morning,Weekend,Spring
70.54,2023-04-01 08:00:00,10031,5608,447,-2405,17,1959,Morning,Weekend,Spring
52.24,2023-04-01 09:00:00,9394,5615,472,-1498,1890,1942,Morning,Weekend,Spring
47.38,2023-04-01 10:00:00,8757,5614,493,-2998,6213,1986,Morning,Weekend,Spring
45.43,2023-04-01 11:00:00,9675,5612,455,-4313,9556,1108,Morning,Weekend,Spring
39.75,2023-04-01 12:00:00,9512,5623,489,-5034,10722,783,Afternoon,Weekend,Spring
32.55,2023-04-01 13:00:00,9255,5617,521,-4305,10679,712,Afternoon,Weekend,Spring
33.36,2023-04-01 14:00:00,9738,5618,486,-4921,10666,636,Afternoon,Weekend,Spring
35.93,2023-04-01 15:00:00,9522,5609,500,-4651,10240,584,Afternoon,Weekend,Spring
36.51,2023-04-01 16:00:00,8655,5612,478,-4757,10042,780,Afternoon,Weekend,Spring
51.74,2023-04-01 17:00:00,9877,5606,453,-4349,8837,645,Afternoon,Weekend,Spring
65.53,2023-04-01 18:00:00,11835,5608,474,-4192,6629,882,Evening,Weekend,Spring
79.73,2023-04-01 19:00:00,14367,5603,443,-4825,4812,1101,Evening,Weekend,Spring
66.26,2023-04-01 20:00:00,16920,5609,447,-4417,1233,1357,Evening,Weekend,Spring
63.98,2023-04-01 21:00:00,16663,5605,478,-4219,127,1896,Evening,Weekend,Spring
53.61,2023-04-01 22:00:00,15230,5613,474,-3813,118,1703,Evening,Weekend,Spring
54.09,2023-04-01 23:00:00,15669,5618,480,-3906,116,1570,Evening,Weekend,Spring
55.2,2023-04-02 00:00:00,15409,5618,442,-4461,16,1206,Night,Weekend,Spring
55.63,2023-04-02 01:00:00,14720,5612,443,-5035,14,1217,Night,Weekend,Spring
57.86,2023-04-02 02:00:00,13376,5626,442,-4572,13,1221,Night,Weekend,Spring
59.01,2023-04-02 03:00:00,13094,5623,446,-4192,13,931,Night,Weekend,Spring
58.86,2023-04-02 04:00:00,12104,5619,443,-3901,13,975,Night,Weekend,Spring
58.45,2023-04-02 05:00:00,11684,5619,445,-3421,13,992,Night,Weekend,Spring
56.31,2023-04-02 06:00:00,12105,5620,443,-3817,13,973,Morning,Weekend,Spring
54.85,2023-04-02 07:00:00,11932,5616,481,-3096,13,1112,Morning,Weekend,Spring
34.52,2023-04-02 08:00:00,11630,5610,441,-3538,50,1439,Morning,Weekend,Spring
33.33,2023-04-02 09:00:00,11062,5620,442,-3922,3710,950,Morning,Weekend,Spring
28.97,2023-04-02 10:00:00,8535,5616,445,-3623,8492,847,Morning,Weekend,Spring
27.27,2023-04-02 11:00:00,7806,5605,453,-4038,10203,782,Morning,Weekend,Spring
27.4,2023-04-02 12:00:00,6284,5605,441,-4093,11101,773,Afternoon,Weekend,Spring
28.25,2023-04-02 13:00:00,6692,5613,444,-4106,11042,627,Afternoon,Weekend,Spring
30.66,2023-04-02 14:00:00,6520,5618,442,-4328,11246,759,Afternoon,Weekend,Spring
35.54,2023-04-02 15:00:00,6441,5614,443,-4112,10903,562,Afternoon,Weekend,Spring
38.28,2023-04-02 16:00:00,5853,5611,442,-3920,10781,537,Afternoon,Weekend,Spring
53.64,2023-04-02 17:00:00,5701,5606,441,-4080,10032,591,Afternoon,Weekend,Spring
69.41,2023-04-02 18:00:00,5946,5612,444,-4039,9197,791,Evening,Weekend,Spring
80.26,2023-04-02 19:00:00,7963,5605,463,-4543,7132,842,Evening,Weekend,Spring
75.4,2023-04-02 20:00:00,11280,5661,477,-4438,1983,1719,Evening,Weekend,Spring
66.22,2023-04-02 21:00:00,11480,6116,457,-3327,194,2254,Evening,Weekend,Spring
94.33,2023-04-02 22:00:00,11524,6268,444,-4054,179,2271,Evening,Weekend,Spring
91.06,2023-04-02 23:00:00,11252,6351,440,-4286,106,2055,Evening,Weekend,Spring
91.28,2023-04-03 00:00:00,10722,6434,440,-4534,41,1601,Night,Weekday,Spring
94.93,2023-04-03 01:00:00,10308,6519,455,-4272,41,1282,Night,Weekday,Spring
94.41,2023-04-03 02:00:00,10005,6594,447,-3942,14,1174,Night,Weekday,Spring
93.7,2023-04-03 03:00:00,9646,6688,467,-4101,13,1125,Night,Weekday,Spring
96.01,2023-04-03 04:00:00,9122,6761,451,-3754,13,1105,Night,Weekday,Spring
142.68,2023-04-03 05:00:00,8965,6841,454,-3826,13,1162,Night,Weekday,Spring
191.72,2023-04-03 06:00:00,8989,6914,449,-3568,13,1408,Morning,Weekday,Spring
119.76,2023-04-03 07:00:00,9219,6949,476,-3027,13,2466,Morning,Weekday,Spring
148.26,2023-04-03 08:00:00,8920,6962,463,-2453,75,2826,Morning,Weekday,Spring
124.32,2023-04-03 09:00:00,8126,6992,448,-3739,4142,2870,Morning,Weekday,Spring
122.1,2023-04-03 10:00:00,7401,7027,449,-5462,10391,1618,Morning,Weekday,Spring
122.42,2023-04-03 11:00:00,6385,7043,445,-4879,12556,1227,Morning,Weekday,Spring
77.49,2023-04-03 12:00:00,5279,7041,449,-4772,13268,915,Afternoon,Weekday,Spring
77.78,2023-04-03 13:00:00,4716,7033,450,-4407,13505,924,Afternoon,Weekday,Spring
78.57,2023-04-03 14:00:00,4466,7043,446,-4088,13433,905,Afternoon,Weekday,Spring
89.82,2023-04-03 15:00:00,4342,7035,447,-4030,13125,921,Afternoon,Weekday,Spring
154.4,2023-04-03 16:00:00,4452,7039,448,-4009,13066,768,Afternoon,Weekday,Spring
206.36,2023-04-03 17:00:00,4512,7034,448,-4105,11861,909,Afternoon,Weekday,Spring
287.58,2023-04-03 18:00:00,4582,7029,447,-4718,10089,1509,Evening,Weekday,Spring
281.62,2023-04-03 19:00:00,4685,7030,485,-4305,5730,2367,Evening,Weekday,Spring
180.69,2023-04-03 20:00:00,4998,7027,499,-2582,1036,4249,Evening,Weekday,Spring
159.03,2023-04-03 21:00:00,5545,7035,515,-714,103,4234,Evening,Weekday,Spring
133.37,2023-04-03 22:00:00,6324,7040,499,-1925,83,3644,Evening,Weekday,Spring
107.91,2023-04-03 23:00:00,6933,7039,468,-3314,63,3035,Evening,Weekday,Spring
128.72,2023-04-04 00:00:00,7270,7040,442,-3087,33,2142,Night,Weekday,Spring
123.99,2023-04-04 01:00:00,8113,7034,451,-2994,4,1741,Night,Weekday,Spring
107.71,2023-04-04 02:00:00,8534,7041,464,-3465,2,1591,Night,Weekday,Spring
107.08,2023-04-04 03:00:00,9406,7054,445,-3862,2,1269,Night,Weekday,Spring
115.91,2023-04-04 04:00:00,10122,7049,447,-4061,2,1218,Night,Weekday,Spring
128.25,2023-04-04 05:00:00,10741,7044,445,-3771,2,1118,Night,Weekday,Spring
153.96,2023-04-04 06:00:00,10655,7054,468,-3121,2,1218,Morning,Weekday,Spring
115.5,2023-04-04 07:00:00,11200,7048,445,-2103,2,1606,Morning,Weekday,Spring
130.58,2023-04-04 08:00:00,11427,7041,445,-1641,149,1711,Morning,Weekday,Spring
123.57,2023-04-04 09:00:00,11236,7044,454,-2412,3406,1825,Morning,Weekday,Spring
110.33,2023-04-04 10:00:00,10786,7042,466,-3569,8713,1186,Morning,Weekday,Spring
109.71,2023-04-04 11:00:00,9589,7058,563,-3987,11186,798,Morning,Weekday,Spring
65.03,2023-04-04 12:00:00,9766,7051,573,-4600,12052,751,Afternoon,Weekday,Spring
59.63,2023-04-04 13:00:00,9361,7052,615,-5001,12346,777,Afternoon,Weekday,Spring
57.15,2023-04-04 14:00:00,8535,7044,553,-4667,12596,624,Afternoon,Weekday,Spring
62.13,2023-04-04 15:00:00,8181,7043,575,-4650,11740,758,Afternoon,Weekday,Spring
116.11,2023-04-04 16:00:00,8811,7033,613,-4338,11111,732,Afternoon,Weekday,Spring
140.73,2023-04-04 17:00:00,10329,7037,533,-4727,10274,538,Afternoon,Weekday,Spring
215.26,2023-04-04 18:00:00,11194,7037,479,-4611,9649,585,Evening,Weekday,Spring
211.78,2023-04-04 19:00:00,12001,7036,460,-4834,7224,1012,Evening,Weekday,Spring
154.36,2023-04-04 20:00:00,12241,7035,445,-4548,1937,2555,Evening,Weekday,Spring
156.66,2023-04-04 21:00:00,12955,7037,483,-2925,126,3408,Evening,Weekday,Spring
109.1,2023-04-04 22:00:00,12871,7035,447,-3632,99,2801,Evening,Weekday,Spring
153.5,2023-04-04 23:00:00,12279,7038,447,-4238,54,2518,Evening,Weekday,Spring
161.03,2023-04-05 00:00:00,11202,7037,470,-4461,23,2464,Night,Weekday,Spring
162.28,2023-04-05 01:00:00,10163,7036,458,-3762,11,2213,Night,Weekday,Spring
163.71,2023-04-05 02:00:00,8725,7036,479,-2717,3,1457,Night,Weekday,Spring
167.22,2023-04-05 03:00:00,7646,7032,450,-2192,3,1477,Night,Weekday,Spring
166.55,2023-04-05 04:00:00,7107,7041,478,-2295,3,1486,Night,Weekday,Spring
180.53,2023-04-05 05:00:00,6631,7048,480,-1602,3,1507,Night,Weekday,Spring
209.78,2023-04-05 06:00:00,5970,7049,471,-711,4,1874,Morning,Weekday,Spring
186.77,2023-04-05 07:00:00,5442,7057,478,-816,4,3041,Morning,Weekday,Spring
215.97,2023-04-05 08:00:00,4727,7059,463,7,124,3496,Morning,Weekday,Spring
194.47,2023-04-05 09:00:00,3936,7054,448,-682,4776,3272,Morning,Weekday,Spring
175.24,2023-04-05 10:00:00,3002,7062,477,-2151,11680,1573,Morning,Weekday,Spring
164.76,2023-04-05 11:00:00,3096,7057,561,-4413,13953,1671,Morning,Weekday,Spring
114.16,2023-04-05 12:00:00,3292,7048,593,-5002,14339,952,Afternoon,Weekday,Spring
99.99,2023-04-05 13:00:00,3655,7051,640,-5193,14906,974,Afternoon,Weekday,Spring
100.12,2023-04-05 14:00:00,3693,7055,621,-4163,14140,1118,Afternoon,Weekday,Spring
116.2,2023-04-05 15:00:00,4059,7050,556,-4373,13808,829,Afternoon,Weekday,Spring
182.19,2023-04-05 16:00:00,4281,7047,557,-4248,13725,820,Afternoon,Weekday,Spring
240.54,2023-04-05 17:00:00,4036,7042,524,-4292,13298,1091,Afternoon,Weekday,Spring
286.71,2023-04-05 18:00:00,4918,7037,470,-5413,12456,1165,Evening,Weekday,Spring
285.25,2023-04-05 19:00:00,5363,7032,493,-4709,8325,1511,Evening,Weekday,Spring
228.15,2023-04-05 20:00:00,5742,7032,509,-3673,2083,3695,Evening,Weekday,Spring
204.62,2023-04-05 21:00:00,6640,7035,519,-2706,99,4315,Evening,Weekday,Spring
183.73,2023-04-05 22:00:00,7226,7039,495,-2296,79,4149,Evening,Weekday,Spring
172.47,2023-04-05 23:00:00,7431,7036,493,-3517,79,3265,Evening,Weekday,Spring
169.72,2023-04-06 00:00:00,7539,7040,494,-3311,76,2123,Night,Weekday,Spring
165.26,2023-04-06 01:00:00,7487,7036,493,-3095,7,1703,Night,Weekday,Spring
165.46,2023-04-06 02:00:00,7164,7039,532,-3144,7,1275,Night,Weekday,Spring
177.13,2023-04-06 03:00:00,6531,7043,530,-3033,7,1246,Night,Weekday,Spring
161.57,2023-04-06 04:00:00,6236,7049,510,-3039,7,1192,Night,Weekday,Spring
143.27,2023-04-06 05:00:00,5324,7048,532,-2669,7,1317,Night,Weekday,Spring
165.04,2023-04-06 06:00:00,4798,7050,534,-3185,7,1982,Morning,Weekday,Spring
185.69,2023-04-06 07:00:00,4642,7050,534,-3665,7,3343,Morning,Weekday,Spring
165.59,2023-04-06 08:00:00,4906,7048,460,-3666,142,3392,Morning,Weekday,Spring
153.36,2023-04-06 09:00:00,4976,7060,457,-4221,4347,2584,Morning,Weekday,Spring
140.93,2023-04-06 10:00:00,4510,7056,459,-5201,10701,1085,Morning,Weekday,Spring
140.2,2023-04-06 11:00:00,3710,7055,459,-5093,12878,1223,Morning,Weekday,Spring
95.51,2023-04-06 12:00:00,3634,7049,458,-5358,14076,976,Afternoon,Weekday,Spring
81.57,2023-04-06 13:00:00,3513,7038,458,-5247,14460,759,Afternoon,Weekday,Spring
79.68,2023-04-06 14:00:00,3691,7040,458,-4757,14087,839,Afternoon,Weekday,Spring
84.19,2023-04-06 15:00:00,3419,7040,450,-4691,13662,793,Afternoon,Weekday,Spring
155.36,2023-04-06 16:00:00,3411,7033,489,-4806,13248,663,Afternoon,Weekday,Spring
247.25,2023-04-06 17:00:00,3875,7024,489,-4748,12106,803,Afternoon,Weekday,Spring
240.17,2023-04-06 18:00:00,4425,7031,472,-4876,11316,879,Evening,Weekday,Spring
246.74,2023-04-06 19:00:00,5527,7036,483,-5256,8399,1410,Evening,Weekday,Spring
198.38,2023-04-06 20:00:00,5864,7034,490,-5874,2582,2495,Evening,Weekday,Spring
193.4,2023-04-06 21:00:00,6579,7037,489,-5381,491,4037,Evening,Weekday,Spring
165.05,2023-04-06 22:00:00,7088,7035,450,-5184,463,3793,Evening,Weekday,Spring
161.11,2023-04-06 23:00:00,7073,7037,485,-4869,10,2779,Evening,Weekday,Spring
164.81,2023-04-07 00:00:00,7054,7036,481,-5363,10,2001,Night,Weekday,Spring
166.86,2023-04-07 01:00:00,6349,7040,485,-4999,10,1693,Night,Weekday,Spring
164.47,2023-04-07 02:00:00,5467,7040,485,-5094,10,1579,Night,Weekday,Spring
165.41,2023-04-07 03:00:00,4515,7039,483,-4566,10,1223,Night,Weekday,Spring
184.59,2023-04-07 04:00:00,3620,7036,488,-4135,10,1138,Night,Weekday,Spring
191.84,2023-04-07 05:00:00,3123,7037,483,-3809,10,1418,Night,Weekday,Spring
217.84,2023-04-07 06:00:00,2988,7050,483,-3869,10,1727,Morning,Weekday,Spring
159.71,2023-04-07 07:00:00,2967,7043,485,-3485,10,1960,Morning,Weekday,Spring
168.91,2023-04-07 08:00:00,2872,7044,474,-3462,160,1916,Morning,Weekday,Spring
133.88,2023-04-07 09:00:00,2768,7051,490,-4787,4851,1412,Morning,Weekday,Spring
127.26,2023-04-07 10:00:00,2515,7050,457,-6095,11336,1029,Morning,Weekday,Spring
121.2,2023-04-07 11:00:00,2062,6949,484,-5839,12905,671,Morning,Weekday,Spring
65.02,2023-04-07 12:00:00,1558,6918,485,-5586,12957,639,Afternoon,Weekday,Spring
64.8,2023-04-07 13:00:00,1830,6912,476,-5832,12844,607,Afternoon,Weekday,Spring
66.46,2023-04-07 14:00:00,1958,6909,483,-5570,12932,559,Afternoon,Weekday,Spring
72.65,2023-04-07 15:00:00,1820,6908,451,-5364,12422,402,Afternoon,Weekday,Spring
139.03,2023-04-07 16:00:00,1626,6905,450,-5151,11890,414,Afternoon,Weekday,Spring
231.55,2023-04-07 17:00:00,1667,6903,481,-5399,11570,558,Afternoon,Weekday,Spring
259.39,2023-04-07 18:00:00,2073,6929,476,-5146,10790,661,Evening,Weekday,Spring
258.99,2023-04-07 19:00:00,3270,6956,458,-5292,8077,1096,Evening,Weekday,Spring
213.79,2023-04-07 20:00:00,3383,6987,484,-5075,2325,2485,Evening,Weekday,Spring
209.93,2023-04-07 21:00:00,3518,7019,488,-4064,91,3530,Evening,Weekday,Spring
175.23,2023-04-07 22:00:00,3314,7029,476,-4085,59,4169,Evening,Weekday,Spring
166.65,2023-04-07 23:00:00,3068,7032,479,-3831,57,3795,Evening,Weekday,Spring
168.34,2023-04-08 00:00:00,2939,7030,489,-3908,57,2623,Night,Weekend,Spring
163.92,2023-04-08 01:00:00,2901,7037,454,-4169,56,2501,Night,Weekend,Spring
166.89,2023-04-08 02:00:00,2920,7034,469,-4294,56,1909,Night,Weekend,Spring
167.86,2023-04-08 03:00:00,2863,7035,480,-3605,56,1633,Night,Weekend,Spring
171.66,2023-04-08 04:00:00,2993,7033,460,-2939,54,1516,Night,Weekend,Spring
182.22,2023-04-08 05:00:00,2950,7043,487,-2657,54,1538,Night,Weekend,Spring
184.62,2023-04-08 06:00:00,2690,7049,487,-3022,53,1549,Morning,Weekend,Spring
159.63,2023-04-08 07:00:00,2576,7040,463,-3439,53,2002,Morning,Weekend,Spring
80.29,2023-04-08 08:00:00,2369,7040,474,-3164,230,2137,Morning,Weekend,Spring
70.52,2023-04-08 09:00:00,2231,7048,451,-3901,4968,1734,Morning,Weekend,Spring
69.06,2023-04-08 10:00:00,1678,7045,456,-4921,11280,1041,Morning,Weekend,Spring
67.9,2023-04-08 11:00:00,1325,7038,449,-5121,12892,827,Morning,Weekend,Spring
61.03,2023-04-08 12:00:00,1248,7031,450,-6239,13927,968,Afternoon,Weekend,Spring
56.35,2023-04-08 13:00:00,1505,7027,448,-6275,14547,510,Afternoon,Weekend,Spring
45.03,2023-04-08 14:00:00,1951,7024,462,-6377,14474,510,Afternoon,Weekend,Spring
55.98,2023-04-08 15:00:00,2440,7019,496,-6592,13720,439,Afternoon,Weekend,Spring
73.02,2023-04-08 16:00:00,2720,7015,451,-6422,12873,451,Afternoon,Weekend,Spring
154.0,2023-04-08 17:00:00,3107,7012,451,-6205,11844,474,Afternoon,Weekend,Spring
186.09,2023-04-08 18:00:00,3478,7012,479,-6363,11508,622,Evening,Weekend,Spring
182.51,2023-04-08 19:00:00,3881,7012,451,-6113,7914,1418,Evening,Weekend,Spring
181.08,2023-04-08 20:00:00,3873,7020,487,-5213,1964,2772,Evening,Weekend,Spring
172.44,2023-04-08 21:00:00,3783,7019,490,-3372,122,3733,Evening,Weekend,Spring
180.73,2023-04-08 22:00:00,3336,7024,451,-3267,113,3811,Evening,Weekend,Spring
173.47,2023-04-08 23:00:00,3550,7026,450,-3357,25,3196,Evening,Weekend,Spring
177.46,2023-04-09 00:00:00,3149,7026,450,-3436,22,2936,Night,Weekend,Spring
175.85,2023-04-09 01:00:00,2497,7031,449,-3261,22,1950,Night,Weekend,Spring
176.24,2023-04-09 02:00:00,2097,7035,452,-3310,22,1511,Night,Weekend,Spring
175.69,2023-04-09 03:00:00,1582,7034,450,-3183,22,1090,Night,Weekend,Spring
176.47,2023-04-09 04:00:00,1477,7036,451,-2817,22,941,Night,Weekend,Spring
173.68,2023-04-09 05:00:00,1234,7035,466,-2293,21,1050,Night,Weekend,Spring
175.34,2023-04-09 06:00:00,1273,7033,452,-2021,21,1176,Morning,Weekend,Spring
143.03,2023-04-09 07:00:00,1314,7042,458,-1546,21,1218,Morning,Weekend,Spring
79.64,2023-04-09 08:00:00,1320,7042,451,-1963,173,1383,Morning,Weekend,Spring
70.31,2023-04-09 09:00:00,1418,7040,451,-3381,3674,1656,Morning,Weekend,Spring
61.25,2023-04-09 10:00:00,1111,7042,471,-4715,9445,1001,Morning,Weekend,Spring
38.13,2023-04-09 11:00:00,941,6925,449,-5381,11896,912,Morning,Weekend,Spring
34.26,2023-04-09 12:00:00,1143,6914,443,-5297,12984,578,Afternoon,Weekend,Spring
35.6,2023-04-09 13:00:00,1797,6911,443,-5714,13467,472,Afternoon,Weekend,Spring
35.82,2023-04-09 14:00:00,2540,6908,444,-6064,13202,503,Afternoon,Weekend,Spring
42.65,2023-04-09 15:00:00,3393,6899,444,-5666,12042,513,Afternoon,Weekend,Spring
45.3,2023-04-09 16:00:00,2985,6889,443,-5360,11195,564,Afternoon,Weekend,Spring
110.46,2023-04-09 17:00:00,3539,6886,451,-4686,10054,608,Afternoon,Weekend,Spring
161.1,2023-04-09 18:00:00,4423,6905,448,-4686,9031,673,Evening,Weekend,Spring
169.4,2023-04-09 19:00:00,4800,6948,483,-4369,5896,912,Evening,Weekend,Spring
157.33,2023-04-09 20:00:00,4198,6973,472,-3664,1461,2031,Evening,Weekend,Spring
147.93,2023-04-09 21:00:00,4212,6998,442,-2710,37,3240,Evening,Weekend,Spring
149.0,2023-04-09 22:00:00,4615,7002,442,-2074,20,3392,Evening,Weekend,Spring
137.16,2023-04-09 23:00:00,4674,7004,442,-2920,19,3245,Evening,Weekend,Spring
134.29,2023-04-10 00:00:00,4828,7004,444,-2053,18,1915,Night,Weekday,Spring
128.61,2023-04-10 01:00:00,4651,7008,444,-926,18,1209,Night,Weekday,Spring
130.27,2023-04-10 02:00:00,4500,7013,440,-1183,18,1065,Night,Weekday,Spring
130.33,2023-04-10 03:00:00,3717,7019,443,-1567,18,1083,Night,Weekday,Spring
133.59,2023-04-10 04:00:00,3445,7009,442,-1254,18,888,Night,Weekday,Spring
125.33,2023-04-10 05:00:00,3635,7021,443,-1298,18,1071,Night,Weekday,Spring
138.96,2023-04-10 06:00:00,3774,7023,470,-860,18,1028,Morning,Weekday,Spring
120.81,2023-04-10 07:00:00,4029,7020,460,-946,18,1608,Morning,Weekday,Spring
132.53,2023-04-10 08:00:00,4280,7028,442,-770,191,2140,Morning,Weekday,Spring
123.41,2023-04-10 09:00:00,4029,7023,478,-983,3483,2127,Morning,Weekday,Spring
117.14,2023-04-10 10:00:00,2780,7023,510,-1335,8555,1334,Morning,Weekday,Spring
100.9,2023-04-10 11:00:00,3140,7027,566,-1723,10871,955,Morning,Weekday,Spring
56.16,2023-04-10 12:00:00,2661,7024,569,-1692,11863,712,Afternoon,Weekday,Spring
55.62,2023-04-10 13:00:00,2918,7018,589,-1970,11984,472,Afternoon,Weekday,Spring
56.83,2023-04-10 14:00:00,3224,7015,546,-2288,12253,448,Afternoon,Weekday,Spring
80.48,2023-04-10 15:00:00,3770,7003,537,-2959,11865,421,Afternoon,Weekday,Spring
140.48,2023-04-10 16:00:00,3412,6998,509,-2263,11124,352,Afternoon,Weekday,Spring
171.46,2023-04-10 17:00:00,4196,6983,446,-2979,10329,478,Afternoon,Weekday,Spring
192.08,2023-04-10 18:00:00,5880,6989,390,-4777,10566,530,Evening,Weekday,Spring
190.75,2023-04-10 19:00:00,7039,6991,294,-4464,7379,705,Evening,Weekday,Spring
155.39,2023-04-10 20:00:00,6738,6992,264,-3952,2186,2860,Evening,Weekday,Spring
131.04,2023-04-10 21:00:00,6838,6997,266,-979,85,3783,Evening,Weekday,Spring
113.43,2023-04-10 22:00:00,7373,7005,266,-232,65,3299,Evening,Weekday,Spring
115.8,2023-04-10 23:00:00,8107,7012,266,-775,64,2030,Evening,Weekday,Spring
107.57,2023-04-11 00:00:00,8151,7017,266,-1273,64,1274,Night,Weekday,Spring
117.7,2023-04-11 01:00:00,7130,7006,265,-1901,63,1111,Night,Weekday,Spring
125.05,2023-04-11 02:00:00,6647,7015,265,-1756,63,794,Night,Weekday,Spring
144.01,2023-04-11 03:00:00,5874,7017,265,-1391,64,870,Night,Weekday,Spring
146.92,2023-04-11 04:00:00,5291,7018,265,-902,63,867,Night,Weekday,Spring
175.4,2023-04-11 05:00:00,4196,7018,265,-783,63,1011,Night,Weekday,Spring
214.69,2023-04-11 06:00:00,3201,7021,266,250,63,1254,Morning,Weekday,Spring
187.41,2023-04-11 07:00:00,2842,7017,265,582,63,2316,Morning,Weekday,Spring
229.95,2023-04-11 08:00:00,2704,7020,295,638,265,3464,Morning,Weekday,Spring
213.72,2023-04-11 09:00:00,2499,7026,330,-1254,4960,3231,Morning,Weekday,Spring
221.23,2023-04-11 10:00:00,2110,7028,403,-3744,10808,2512,Morning,Weekday,Spring
215.35,2023-04-11 11:00:00,2162,7023,426,-4332,13156,2084,Morning,Weekday,Spring
122.52,2023-04-11 12:00:00,2574,7019,477,-4869,14182,1619,Afternoon,Weekday,Spring
98.2,2023-04-11 13:00:00,3232,7010,460,-4842,14737,1479,Afternoon,Weekday,Spring
93.17,2023-04-11 14:00:00,4344,7005,461,-5280,14662,2023,Afternoon,Weekday,Spring
97.68,2023-04-11 15:00:00,5468,7006,413,-5464,14076,1318,Afternoon,Weekday,Spring
145.58,2023-04-11 16:00:00,6564,6998,409,-5334,13794,483,Afternoon,Weekday,Spring
211.43,2023-04-11 17:00:00,6241,6998,386,-5317,13901,738,Afternoon,Weekday,Spring
247.52,2023-04-11 18:00:00,7978,6996,327,-5098,12223,725,Evening,Weekday,Spring
255.66,2023-04-11 19:00:00,8537,6994,291,-4319,8619,1020,Evening,Weekday,Spring
200.65,2023-04-11 20:00:00,8085,6986,258,-3192,2528,2550,Evening,Weekday,Spring
178.45,2023-04-11 21:00:00,8158,6992,281,-2613,51,4151,Evening,Weekday,Spring
135.39,2023-04-11 22:00:00,9402,7003,330,-2199,26,3545,Evening,Weekday,Spring
104.35,2023-04-11 23:00:00,10198,7008,333,-3174,22,2585,Evening,Weekday,Spring
80.52,2023-04-12 00:00:00,10721,7007,275,-3503,22,1506,Night,Weekday,Spring
82.32,2023-04-12 01:00:00,11294,7011,261,-3364,22,1187,Night,Weekday,Spring
82.98,2023-04-12 02:00:00,11505,7011,260,-4240,22,1003,Night,Weekday,Spring
90.39,2023-04-12 03:00:00,11744,7012,275,-4019,21,800,Night,Weekday,Spring
106.63,2023-04-12 04:00:00,11846,7014,286,-4187,22,689,Night,Weekday,Spring
135.11,2023-04-12 05:00:00,11709,7010,289,-4056,21,871,Night,Weekday,Spring
162.58,2023-04-12 06:00:00,11542,7017,278,-3704,21,845,Morning,Weekday,Spring
100.12,2023-04-12 07:00:00,11960,7012,279,-2568,22,1187,Morning,Weekday,Spring
121.58,2023-04-12 08:00:00,12041,7016,322,-1921,335,1858,Morning,Weekday,Spring
98.13,2023-04-12 09:00:00,11149,7015,399,-2485,5197,1310,Morning,Weekday,Spring
97.77,2023-04-12 10:00:00,10549,7026,410,-4988,10451,907,Morning,Weekday,Spring
98.92,2023-04-12 11:00:00,10736,7017,460,-5211,11386,767,Morning,Weekday,Spring
51.22,2023-04-12 12:00:00,11285,7005,486,-6019,11812,762,Afternoon,Weekday,Spring
51.99,2023-04-12 13:00:00,11882,6986,505,-6049,11982,679,Afternoon,Weekday,Spring
51.9,2023-04-12 14:00:00,12454,6990,456,-6376,11809,491,Afternoon,Weekday,Spring
57.5,2023-04-12 15:00:00,12475,6995,456,-6206,11158,446,Afternoon,Weekday,Spring
102.7,2023-04-12 16:00:00,13280,6986,404,-5660,9256,648,Afternoon,Weekday,Spring
122.2,2023-04-12 17:00:00,14612,6994,376,-5526,8299,525,Afternoon,Weekday,Spring
140.48,2023-04-12 18:00:00,16443,6997,324,-5635,6542,668,Evening,Weekday,Spring
172.78,2023-04-12 19:00:00,16808,6999,258,-5884,4197,886,Evening,Weekday,Spring
124.92,2023-04-12 20:00:00,16689,7001,292,-5195,1240,1439,Evening,Weekday,Spring
101.14,2023-04-12 21:00:00,15171,6994,282,-4427,91,2483,Evening,Weekday,Spring
117.45,2023-04-12 22:00:00,14085,7002,257,-3960,79,2725,Evening,Weekday,Spring
114.74,2023-04-12 23:00:00,13845,6999,258,-4426,72,2144,Evening,Weekday,Spring
114.79,2023-04-13 00:00:00,13205,7008,280,-4662,72,1629,Night,Weekday,Spring
116.51,2023-04-13 01:00:00,12775,7003,274,-4424,72,1137,Night,Weekday,Spring
116.77,2023-04-13 02:00:00,12066,7009,292,-4117,72,967,Night,Weekday,Spring
127.83,2023-04-13 03:00:00,11045,7005,273,-4264,72,1032,Night,Weekday,Spring
130.94,2023-04-13 04:00:00,10704,7013,264,-4053,72,1009,Night,Weekday,Spring
167.03,2023-04-13 05:00:00,10829,7009,260,-3863,70,940,Night,Weekday,Spring
173.72,2023-04-13 06:00:00,10039,7010,264,-3206,69,1220,Morning,Weekday,Spring
